Size;InsertSort;QuickSort
5;600;800
6;700;900
7;1000;1200
8;1200;1200
9;1500;1700
10;1800;1800
11;2200;2000
12;2500;2200
13;2900;2500
14;3300;2600
15;3700;2800
16;4300;3400
17;4800;3600
18;5200;3600
19;5900;4000
20;6500;4000
21;7100;4600
22;7700;5000
23;8500;5400
24;9100;5500
25;9900;5400
26;10700;5500
27;11500;6200
28;12300;6500
29;13200;6700
30;14000;7500
31;14900;7100
32;15900;7400
33;16900;7700
34;17900;8200
35;18900;8400
36;20000;8600
37;21400;8600
38;22500;9400
39;23400;9000
40;24600;10200
41;25900;10500
42;27100;10000
43;28400;10700
44;29900;10800
45;30900;11800
46;32800;12100
47;33700;11700
48;35200;11400
49;37100;12300
50;38100;13100
51;39500;13200
52;41000;13400
53;42600;13800
54;44200;13800
55;45800;13600
56;47500;14200
57;49200;14900
58;51600;15100
59;52600;14900
60;54500;16000
61;57000;16300
62;58000;16300
63;59900;16200
64;61800;17200
65;64900;17900
66;65700;17600
67;67600;18400
68;70200;23400
69;71700;18700
70;73800;18800
71;76000;19200
72;78000;19600
73;80400;19900
74;82400;20300
75;85500;20300
76;88000;20600
77;89100;20700
78;91300;21100
79;93700;22400
80;96400;22100
81;98600;23400
82;101100;23000
83;105400;23100
84;105800;22600
85;108400;23900
86;110800;23500
87;113300;24100
88;116300;25400
89;118900;24400
90;121300;25900
91;125600;24800
92;128500;25800
93;131900;26500
94;132500;26400
95;135000;27200
96;138200;27500
97;140600;27000
98;143600;28000
99;146900;28400
100;149400;28400
